# time (s) ,  q1,   q2  
1.0200e+02  2.4456e+04  2.4456e+04 
1.0250e+02  2.4204e+04  2.4204e+04 
1.0300e+02  2.3955e+04  2.3955e+04 
1.0350e+02  2.3709e+04  2.3709e+04 
1.0400e+02  2.3465e+04  2.3465e+04 
1.0450e+02  2.3224e+04  2.3224e+04 
1.0500e+02  2.2985e+04  2.2985e+04 
1.0550e+02  2.2749e+04  2.2749e+04 
1.0600e+02  2.2515e+04  2.2515e+04 
1.0650e+02  2.2283e+04  2.2283e+04 
1.0700e+02  2.2054e+04  2.2054e+04 
1.0750e+02  2.1827e+04  2.1827e+04 
1.0800e+02  2.1603e+04  2.1603e+04 
1.0850e+02  2.1380e+04  2.1380e+04 
1.0900e+02  2.1161e+04  2.1161e+04 
1.0950e+02  2.0943e+04  2.0943e+04 
1.1000e+02  2.0727e+04  2.0727e+04 
1.1050e+02  2.0514e+04  2.0514e+04 
1.1100e+02  2.0303e+04  2.0303e+04 
1.1150e+02  2.0095e+04  2.0095e+04 
1.1200e+02  1.9888e+04  1.9888e+04 
1.1250e+02  1.9683e+04  1.9683e+04 
1.1300e+02  1.9481e+04  1.9481e+04 
1.1350e+02  1.9280e+04  1.9280e+04 
1.1400e+02  1.9082e+04  1.9082e+04 
1.1450e+02  1.8886e+04  1.8886e+04 
1.1500e+02  1.8692e+04  1.8692e+04 
1.1550e+02  1.8499e+04  1.8499e+04 
1.1600e+02  1.8309e+04  1.8309e+04 
1.1650e+02  1.8121e+04  1.8121e+04 
1.1700e+02  1.7934e+04  1.7934e+04 
1.1750e+02  1.7750e+04  1.7750e+04 
1.1800e+02  1.7567e+04  1.7567e+04 
1.1850e+02  1.7387e+04  1.7387e+04 
1.1900e+02  1.7208e+04  1.7208e+04 
1.1950e+02  1.7031e+04  1.7031e+04 
1.2000e+02  1.6856e+04  1.6856e+04 
1.2050e+02  1.6682e+04  1.6682e+04 
1.2100e+02  1.6511e+04  1.6511e+04 
1.2150e+02  1.6341e+04  1.6341e+04 
1.2200e+02  1.6173e+04  1.6173e+04 
1.2250e+02  1.6007e+04  1.6007e+04 
1.2300e+02  1.5842e+04  1.5842e+04 
1.2350e+02  1.5679e+04  1.5679e+04 
